OBJECTID;weight;node_id;nps_dn;p_max
306;20160000.000000000000000;GS-3604;600;56
307;4500000.000000000000000;GS-3651;300;50
308;8000000.000000000000000;GS-3597;400;50
309;8000000.000000000000000;GS-3512;400;50
310;10800000.000000000000000;GS-3723;400;68
311;10800000.000000000000000;GS-3715;400;68
312;10800000.000000000000000;GS-3575;400;68
313;14125000.000000000000000;GS-3619;500;56
314;1125000.000000000000000;GS-3621;150;50
315;1518750.000000000000000;GS-3595;150;68
316;21000000.000000000000000;GS-0740;500;84
317;21000000.000000000000000;GS-0741;500;84
318;35437500.000000000000000;GS-0746;750;63
319;4218750.000000000000000;GS-3670;250;68
320;2700000.000000000000000;GS-3671;200;68
321;2700000.000000000000000;GS-3658;200;68
322;16875000.000000000000000;GS-3606;500;68
323;30240000.000000000000000;GS-4123;600;84
324;6250000.000000000000000;GS-6564;500;25
325;25200000.000000000000000;GS-0670;600;70
326;25200000.000000000000000;GS-0671;600;70
327;25200000.000000000000000;GS-0672;600;70
328;360000.000000000000000;GS-1857;150;16
329;17000000.000000000000000;GS-3166;500;68
330;8000000.000000000000000;GS-2463;400;50
331;44800000.000000000000000;GS-3433;800;70
332;8000000.000000000000000;GS-3261;400;50
333;84000000.000000000000000;GS-0773;1000;84
334;360000.000000000000000;GS-1318;150;16
335;640000.000000000000000;GS-1317;200;16
336;25200000.000000000000000;GS-1372;600;70
337;17500000.000000000000000;GS-1186;500;70
338;10800000.000000000000000;GS-0724;400;68
339;17000000.000000000000000;GS-3471;500;68
340;64800000.000000000000000;GS-0793;900;80
341;64800000.000000000000000;GS-7280;900;80
342;13440000.000000000000000;GS-4128;400;84
343;4000000.000000000000000;GS-0041;200;100
344;33320000.000000000000000;GS-2920;700;68
345;5760000.000000000000000;GS-4653;300;64
346;33320000.000000000000000;GS-2921;700;68
347;675000.000000000000000;GS-4532;100;68
348;17000000.000000000000000;GS-4498;500;68
349;16875000.000000000000000;GS-4392;500;68
350;2700000.000000000000000;GS-4535;200;68
351;10080000.000000000000000;GS-6761;400;63
352;6120000.000000000000000;GS-4638;300;68
353;7560000.000000000000000;GS-6545;300;84
354;2700000.000000000000000;GS-4631;200;68
355;2700000.000000000000000;GS-4630;200;68
356;2700000.000000000000000;GS-4626;200;68
357;144000000.000000000000000;GS-6420;1200;100
358;6250000.000000000000000;GS-6409;500;25
359;53760000.000000000000000;GS-0011;800;84
360;81000000.000000000000000;GS-0017;900;100
361;8000000.000000000000000;GS-2262;400;50
362;11200000.000000000000000;GS-1416;400;70
363;72900000.000000000000000;GS-0640;900;90
364;72900000.000000000000000;GS-0641;900;90
365;72900000.000000000000000;GS-0667;900;90
366;38200000.000000000000000;GS-1824;1000;38
367;144000000.000000000000000;GS-0561;1200;100
368;144000000.000000000000000;GS-0562;1200;100
369;640000.000000000000000;GS-1077;200;16
370;640000.000000000000000;GS-1079;200;16
371;90000000.000000000000000;GS-3981;1000;90
372;2700000.000000000000000;GS-4303;200;68
373;2700000.000000000000000;GS-4304;200;68
374;20000000.000000000000000;GS-7215;500;80
375;17500000.000000000000000;GS-7261;500;70
376;640000.000000000000000;GS-4529;100;64
377;640000.000000000000000;GS-4530;100;64
378;2560000.000000000000000;GS-4377;200;64
379;15750000.000000000000000;GS-6484;500;63
380;25200000.000000000000000;GS-0044;600;70
381;36000000.000000000000000;GS-0046;600;100
382;11200000.000000000000000;GS-0720;400;70
383;5670000.000000000000000;GS-0753;300;63
384;1440000.000000000000000;GS-0761;300;16
385;101640000.000000000000000;GS-0116;1100;84
386;81000000.000000000000000;GS-4009;900;100
387;34300000.000000000000000;GS-0716;700;70
388;68040000.000000000000000;GS-0673;900;84
389;110250000.000000000000000;GS-0101;1050;100
390;1000000.000000000000000;GS-2507;250;16
391;5760000.000000000000000;GS-4351;300;64
392;3360000.000000000000000;GS-3887;200;84
393;10800000.000000000000000;GS-7269;400;68
394;121000000.000000000000000;GS-0601;1100;100
395;2700000.000000000000000;GS-4547;200;68
396;16875000.000000000000000;GS-2910;500;68
397;5760000.000000000000000;GS-4504;300;64
398;16875000.000000000000000;GS-2912;500;68
399;22680000.000000000000000;GS-6457;600;63
400;110250000.000000000000000;GS-0111;1050;100
401;640000.000000000000000;GS-1529;200;16
402;101640000.000000000000000;GS-3183;1100;84
403;196000000.000000000000000;GS-0079;1400;100
404;1562500.000000000000000;GS-1284;250;25
405;4000000.000000000000000;GS-2305;200;100
406;2700000.000000000000000;GS-2306;200;68
407;1562500.000000000000000;GS-1295;250;25
408;675000.000000000000000;GS-1675;100;68
409;1620000.000000000000000;GS-1452;450;8
410;13668750.000000000000000;GS-1674;450;68
411;562500.000000000000000;GS-1359;150;25
412;640000.000000000000000;GS-1641;200;16
413;640000.000000000000000;GS-2045;200;16
414;640000.000000000000000;GS-1640;200;16
415;640000.000000000000000;GS-1644;200;16
416;640000.000000000000000;GS-2042;200;16
417;44800000.000000000000000;GS-2487;800;70
418;640000.000000000000000;GS-2165;200;16
419;16875000.000000000000000;GS-3404;500;68
420;16000000.000000000000000;GS-3972;400;100
421;16000000.000000000000000;GS-3962;400;100
422;25200000.000000000000000;GS-3407;600;70
423;16000000.000000000000000;GS-3970;400;100
424;16000000.000000000000000;GS-3971;400;100
425;360000.000000000000000;GS-1950;150;16
426;360000.000000000000000;GS-1956;150;16
427;2560000.000000000000000;GS-1411;400;16
428;64000000.000000000000000;GS-3444;800;100
429;2560000.000000000000000;GS-1412;400;16
430;1440000.000000000000000;GS-1850;300;16
431;640000.000000000000000;GS-3409;400;4
432;1600000.000000000000000;GS-3455;200;40
433;6120000.000000000000000;GS-3222;300;68
434;5760000.000000000000000;GS-2544;600;16
435;30240000.000000000000000;GS-4061;600;84
436;6400000.000000000000000;GS-3154;400;40
437;360000.000000000000000;GS-1554;150;16
438;6400000.000000000000000;GS-2074;400;40
439;2800000.000000000000000;GS-1559;200;70
440;250000.000000000000000;GS-2538;250;4
441;55080000.000000000000000;GS-3441;900;68
442;640000.000000000000000;GS-2532;400;4
443;2800000.000000000000000;GS-1555;200;70
444;25200000.000000000000000;GS-2244;600;70
445;1000000.000000000000000;GS-1122;250;16
446;2800000.000000000000000;GS-1388;200;70
447;360000.000000000000000;GS-1767;150;16
448;640000.000000000000000;GS-1754;200;16
449;640000.000000000000000;GS-1755;200;16
450;6300000.000000000000000;GS-1421;300;70
451;64800000.000000000000000;GS-3496;900;80
452;640000.000000000000000;GS-1748;200;16
453;640000.000000000000000;GS-1766;200;16
454;640000.000000000000000;GS-1615;200;16
455;640000.000000000000000;GS-1751;200;16
456;38250000.000000000000000;GS-0113;750;68
457;640000.000000000000000;GS-1193;200;16
